size,avg_adds,avg_muls,avg_time_seconds
1,0.0,0.0,3.793000000000001e-7
11,70.0,0.0,1.3074899999999999e-5
21,246.0,0.0,2.6091799999999996e-5
31,495.0,0.0,5.295440000000001e-5
41,897.0,0.0,7.75332e-5
51,1373.0,0.0,0.00010490429999999999
61,1919.0,0.0,0.0001391875
71,2618.0,0.0,0.006798341699999999
81,3398.0,0.0,0.00020965009999999998
91,4299.0,0.0,0.00024049580000000005
101,5275.0,0.0,0.00030545830000000004
111,6304.0,0.0,0.0006721207
121,7466.0,0.0,0.00042827920000000007
131,8722.0,0.0,0.0005874750999999999
141,10188.0,0.0,0.0005841876
151,11688.0,0.0,0.0006910417
161,13199.0,0.0,0.0006920583000000001
171,15000.0,0.0,0.0007092958
181,16761.0,0.0,0.0007915043
191,18460.0,0.0,0.0008071666
201,20578.0,0.0,0.0009402417
211,22694.0,0.0,0.0009738959999999999
221,24810.0,0.0,0.0010751501999999998
231,27079.0,0.0,0.0012098375000000002
241,29359.0,0.0,0.0014812335
251,31810.0,0.0,0.0013816123
261,34406.0,0.0,0.0016276458
271,37125.0,0.0,0.0104931501
281,40027.0,0.0,0.0018448208000000001
291,42932.0,0.0,0.0019946999
301,45998.0,0.0,0.0019035165999999998
311,49028.0,0.0,0.0019851834
321,52000.0,0.0,0.002004954
331,55591.0,0.0,0.0093703919
341,59012.0,0.0,0.0023768709000000004
351,62241.0,0.0,0.0027045418000000002
361,65984.0,0.0,0.0026482874999999998
371,69630.0,0.0,0.010041962400000002
381,73206.0,0.0,0.0029333166000000003
391,77173.0,0.0,0.0031336792999999996
401,81183.0,0.0,0.0106993084
411,85414.0,0.0,0.0032477164000000005
421,89610.0,0.0,0.0032277249000000003
431,93749.0,0.0,0.009908745899999998
441,98121.0,0.0,0.0037952875
451,102507.0,0.0,0.0112176623
461,107243.0,0.0,0.0040805500000000005
471,111873.0,0.0,0.0111845122
481,116344.0,0.0,0.004539158600000001
491,121475.0,0.0,0.0055193377
501,126306.0,0.0,0.0050655333
511,130815.0,0.0,0.012554683399999999
521,136473.0,0.0,0.013536112300000003
531,141999.0,0.0,0.0056670377
541,147385.0,0.0,0.012424691800000002
551,152994.0,0.0,0.0132601166
561,158504.0,0.0,0.0058741958999999995
571,164285.0,0.0,0.013175258099999998
581,170116.0,0.0,0.0133217792
591,175975.0,0.0,0.012959404099999999
601,182117.0,0.0,0.0065229414
611,188152.0,0.0,0.0136290916
621,194418.0,0.0,0.0138763793
631,200508.0,0.0,0.013649383300000002
641,206401.0,0.0,0.015031904200000001
651,213562.0,0.0,0.0088013542
661,220293.0,0.0,0.0155042583
671,226572.0,0.0,0.015063770800000001
681,233735.0,0.0,0.015177770800000004
691,240631.0,0.0,0.015705571
701,247317.0,0.0,0.017311349900000002
711,254499.0,0.0,0.0183806251
721,261629.0,0.0,0.0102676457
731,269080.0,0.0,0.017721829099999996
741,276386.0,0.0,0.017859679
751,283525.0,0.0,0.024597300100000004
761,290997.0,0.0,0.019485725199999998
771,298505.0,0.0,0.0187593835
781,306741.0,0.0,0.017691712300000002
791,314731.0,0.0,0.0203377541
801,322392.0,0.0,0.027715791599999994
811,331083.0,0.0,0.022889500200000003
821,339214.0,0.0,0.0211481208
831,346763.0,0.0,0.0303670834
841,355741.0,0.0,0.0198630458
851,364407.0,0.0,0.027451304400000005
861,372793.0,0.0,0.0200449668
871,381472.0,0.0,0.0207321666
881,389942.0,0.0,0.0207661295
891,398783.0,0.0,0.027318037599999994
901,407749.0,0.0,0.021871799900000002
911,416818.0,0.0,0.0283314253
921,426270.0,0.0,0.021860446
931,435505.0,0.0,0.035344071
941,445041.0,0.0,0.0222152208
951,454261.0,0.0,0.0365394374
961,463113.0,0.0,0.029785229200000003
971,473594.0,0.0,0.036599012400000006
981,483385.0,0.0,0.0367388624
991,492464.0,0.0,0.0439580458
1001,502797.0,0.0,0.0380708876
1011,512693.0,0.0,0.045367291600000005
1021,522239.0,0.0,0.039364312400000004
1031,532806.0,0.0,0.026705704199999996
1040,541384.0,0.0,0.033884445900000004
